generation,best_score,avg_score,feature_count,mutation_rates,top_features,operator_stats,oos_score,oos_drawdown,oos_win_rate,penalty,sharpe_diff,trade_count,rl_usage,rl_avg_layers
0,0.7,-4.65,21,"{'add': np.float64(0.6734639385651818), 'drop': np.float64(0.6673196928259111), 'shift': np.float64(0.6642475699562755), 'invert': np.float64(0.6581033242170047), 'metaboost': np.float64(0.6550312013473695), 'crossover': 0.9, 'uniform_crossover': np.float64(0.6673196928259111), 'rl_mutation': np.float64(0.6611754470866402)}","[('stop_loss', np.float64(0.881521988211437)), ('rsi_period', np.float64(0.78)), ('rl_agent', np.float64(0.5696685927992311)), ('sma_period', np.float64(0.445750421981747)), ('stoch_d', np.float64(0.30000000000000004))]","{'add': {'n': 105, 'total_impact': np.float64(-210.0), 'min_impact': np.float64(-2.0)}, 'drop': {'n': 90, 'total_impact': np.float64(-180.0), 'min_impact': np.float64(-2.0)}, 'shift': {'n': 90, 'total_impact': np.float64(-180.0), 'min_impact': np.float64(-2.0)}, 'invert': {'n': 90, 'total_impact': np.float64(-180.0), 'min_impact': np.float64(-2.0)}, 'metaboost': {'n': 90, 'total_impact': np.float64(-180.0), 'min_impact': np.float64(-2.0)}, 'uniform_crossover': {'n': 90, 'total_impact': np.float64(-180.0), 'min_impact': np.float64(-2.0)}, 'rl_mutation': {'n': 90, 'total_impact': np.float64(-180.0), 'min_impact': np.float64(-2.0)}}",1.0,0.0,1.0,0.0,-0.2928932188134524,11,1.0,2.6333333333333333
1,0.7,-4.65,21,"{'add': np.float64(0.674887643584212), 'drop': np.float64(0.6744382179210628), 'shift': np.float64(0.6742135050894883), 'invert': np.float64(0.6737640794263389), 'metaboost': np.float64(0.6735393665947641), 'crossover': 0.9, 'uniform_crossover': np.float64(0.6744382179210628), 'rl_mutation': np.float64(0.6739887922579134)}","[('stop_loss', np.float64(0.881521988211437)), ('rsi_period', np.float64(0.78)), ('rl_agent', np.float64(0.5696685927992311)), ('sma_period', np.float64(0.445750421981747)), ('stoch_d', np.float64(0.30000000000000004))]","{'add': {'n': 135, 'total_impact': np.float64(-270.0), 'min_impact': np.float64(-2.0)}, 'drop': {'n': 135, 'total_impact': np.float64(-270.0), 'min_impact': np.float64(-2.0)}, 'shift': {'n': 120, 'total_impact': np.float64(-240.0), 'min_impact': np.float64(-2.0)}, 'invert': {'n': 120, 'total_impact': np.float64(-240.0), 'min_impact': np.float64(-2.0)}, 'metaboost': {'n': 120, 'total_impact': np.float64(-240.0), 'min_impact': np.float64(-2.0)}, 'uniform_crossover': {'n': 120, 'total_impact': np.float64(-240.0), 'min_impact': np.float64(-2.0)}, 'rl_mutation': {'n': 120, 'total_impact': np.float64(-240.0), 'min_impact': np.float64(-2.0)}}",1.0,0.0,1.0,0.0,-0.2928932188134524,11,1.0,2.533333333333333
2,0.7,-4.65,21,"{'add': np.float64(0.6749917816020354), 'drop': np.float64(0.6749589080101793), 'shift': np.float64(0.6749424712142512), 'invert': np.float64(0.6749095976223948), 'metaboost': np.float64(0.6748931608264668), 'crossover': 0.9, 'uniform_crossover': np.float64(0.6749589080101793), 'rl_mutation': np.float64(0.674926034418323)}","[('stop_loss', np.float64(0.8840528738278581)), ('rsi_period', np.float64(0.78)), ('sma_period', np.float64(0.6258989331937932)), ('rl_agent', np.float64(0.3125203180281754)), ('stoch_d', np.float64(0.30000000000000004))]","{'add': {'n': 165, 'total_impact': np.float64(-330.0), 'min_impact': np.float64(-2.0)}, 'drop': {'n': 165, 'total_impact': np.float64(-330.0), 'min_impact': np.float64(-2.0)}, 'shift': {'n': 165, 'total_impact': np.float64(-330.0), 'min_impact': np.float64(-2.0)}, 'invert': {'n': 150, 'total_impact': np.float64(-300.0), 'min_impact': np.float64(-2.0)}, 'metaboost': {'n': 150, 'total_impact': np.float64(-300.0), 'min_impact': np.float64(-2.0)}, 'uniform_crossover': {'n': 150, 'total_impact': np.float64(-300.0), 'min_impact': np.float64(-2.0)}, 'rl_mutation': {'n': 150, 'total_impact': np.float64(-300.0), 'min_impact': np.float64(-2.0)}}",1.0,0.0,1.0,0.0,-0.2928932188134524,11,1.0,2.7333333333333334
3,0.7,-4.65,21,"{'add': np.float64(0.6749993988588489), 'drop': np.float64(0.6749969942942452), 'shift': np.float64(0.6749957920119435), 'invert': np.float64(0.6749933874473398), 'metaboost': np.float64(0.6749921851650381), 'crossover': 0.9, 'uniform_crossover': np.float64(0.6749969942942452), 'rl_mutation': np.float64(0.6749945897296414)}","[('stop_loss', np.float64(1.0)), ('rl_agent', np.float64(0.9142056336712289)), ('sma_period', np.float64(0.7416148923249406)), ('rsi_period', np.float64(0.32748903289917913)), ('stoch_d', np.float64(0.30000000000000004))]","{'add': {'n': 195, 'total_impact': np.float64(-390.0), 'min_impact': np.float64(-2.0)}, 'drop': {'n': 195, 'total_impact': np.float64(-390.0), 'min_impact': np.float64(-2.0)}, 'shift': {'n': 195, 'total_impact': np.float64(-390.0), 'min_impact': np.float64(-2.0)}, 'invert': {'n': 195, 'total_impact': np.float64(-390.0), 'min_impact': np.float64(-2.0)}, 'metaboost': {'n': 180, 'total_impact': np.float64(-360.0), 'min_impact': np.float64(-2.0)}, 'uniform_crossover': {'n': 180, 'total_impact': np.float64(-360.0), 'min_impact': np.float64(-2.0)}, 'rl_mutation': {'n': 180, 'total_impact': np.float64(-360.0), 'min_impact': np.float64(-2.0)}}",1.0,0.0,1.0,0.0,-0.2928932188134524,11,1.0,2.7
4,0.6936417021970056,-4.69929748224211,20,"{'add': np.float64(0.5241977931593985), 'drop': np.float64(0.5233367543651987), 'shift': np.float64(0.5230907432811417), 'invert': np.float64(0.5181705215999999), 'metaboost': np.float64(0.5131498872314878), 'crossover': 0.9, 'uniform_crossover': np.float64(0.5396875260364798), 'rl_mutation': np.float64(0.5284167141887998)}","[('sma_period', np.float64(0.8025711037967332)), ('stop_loss', np.float64(0.6091693392670652)), ('trade_size', np.float64(0.5625260950800565)), ('macd_slow', np.float64(0.43654352912072497)), ('bollinger_period', np.float64(0.36918702941584236))]","{'add': {'n': 30, 'total_impact': np.float64(-60.0), 'min_impact': np.float64(-2.0)}, 'drop': {'n': 30, 'total_impact': np.float64(-60.0), 'min_impact': np.float64(-2.0)}, 'shift': {'n': 30, 'total_impact': np.float64(-60.0), 'min_impact': np.float64(-2.0)}, 'invert': {'n': 30, 'total_impact': np.float64(-60.0), 'min_impact': np.float64(-2.0)}, 'metaboost': {'n': 30, 'total_impact': np.float64(-60.0), 'min_impact': np.float64(-2.0)}, 'uniform_crossover': {'n': 30, 'total_impact': np.float64(-60.0), 'min_impact': np.float64(-2.0)}, 'rl_mutation': {'n': 15, 'total_impact': np.float64(-30.0), 'min_impact': np.float64(-2.0)}}",1.0,0.02119432600998125,1.0,0.0,-0.6325750634422458,22,1.0,1.9666666666666666
5,0.7,-4.652818421763998,20,"{'add': np.float64(0.6539999999999999), 'drop': np.float64(0.57), 'shift': np.float64(0.5279999999999999), 'invert': np.float64(0.444), 'metaboost': np.float64(0.40199999999999997), 'crossover': 0.84, 'uniform_crossover': np.float64(0.57), 'rl_mutation': np.float64(0.486)}","[('stop_loss', np.float64(1.0)), ('use_adx', np.float64(0.4625996659015486)), ('bollinger_period', np.float64(0.4476045558654392)), ('trade_size', np.float64(0.3916390979432287)), ('macd_slow', np.float64(0.30284534034100025))]","{'add': {'n': 60, 'total_impact': np.float64(-120.0), 'min_impact': np.float64(-2.0)}, 'drop': {'n': 60, 'total_impact': np.float64(-120.0), 'min_impact': np.float64(-2.0)}, 'shift': {'n': 60, 'total_impact': np.float64(-120.0), 'min_impact': np.float64(-2.0)}, 'invert': {'n': 60, 'total_impact': np.float64(-120.0), 'min_impact': np.float64(-2.0)}, 'metaboost': {'n': 60, 'total_impact': np.float64(-120.0), 'min_impact': np.float64(-2.0)}, 'uniform_crossover': {'n': 60, 'total_impact': np.float64(-120.0), 'min_impact': np.float64(-2.0)}, 'rl_mutation': {'n': 60, 'total_impact': np.float64(-120.0), 'min_impact': np.float64(-2.0)}}",1.0,0.0,1.0,0.0,-0.29289321881345254,11,1.0,2.066666666666667
6,0.7,-4.650903015701209,20,"{'add': np.float64(0.6734639385651818), 'drop': np.float64(0.6673196928259111), 'shift': np.float64(0.6642475699562755), 'invert': np.float64(0.6581033242170047), 'metaboost': np.float64(0.6550312013473695), 'crossover': 0.9, 'uniform_crossover': np.float64(0.6673196928259111), 'rl_mutation': np.float64(0.6611754470866402)}","[('trade_size', np.float64(1.0)), ('stop_loss', np.float64(0.8558184847089654)), ('rl_agent', np.float64(0.4139782110549432)), ('bollinger_period', np.float64(0.34090813927924163)), ('use_adx', np.float64(0.3330797938667317))]","{'add': {'n': 105, 'total_impact': np.float64(-210.0), 'min_impact': np.float64(-2.0)}, 'drop': {'n': 90, 'total_impact': np.float64(-180.0), 'min_impact': np.float64(-2.0)}, 'shift': {'n': 90, 'total_impact': np.float64(-180.0), 'min_impact': np.float64(-2.0)}, 'invert': {'n': 90, 'total_impact': np.float64(-180.0), 'min_impact': np.float64(-2.0)}, 'metaboost': {'n': 90, 'total_impact': np.float64(-180.0), 'min_impact': np.float64(-2.0)}, 'uniform_crossover': {'n': 90, 'total_impact': np.float64(-180.0), 'min_impact': np.float64(-2.0)}, 'rl_mutation': {'n': 90, 'total_impact': np.float64(-180.0), 'min_impact': np.float64(-2.0)}}",1.0,0.0,1.0,0.0,-0.29289321881345254,11,1.0,1.8
7,0.7,-4.65,20,"{'add': np.float64(0.674887643584212), 'drop': np.float64(0.6744382179210628), 'shift': np.float64(0.6742135050894883), 'invert': np.float64(0.6737640794263389), 'metaboost': np.float64(0.6735393665947641), 'crossover': 0.9, 'uniform_crossover': np.float64(0.6744382179210628), 'rl_mutation': np.float64(0.6739887922579134)}","[('trade_size', np.float64(1.0)), ('stop_loss', np.float64(0.6851098363339361)), ('take_profit', np.float64(0.3792150367978713)), ('rsi_period', np.float64(0.3792150367978713)), ('rl_agent', np.float64(0.37688543375512445))]","{'add': {'n': 135, 'total_impact': np.float64(-270.0), 'min_impact': np.float64(-2.0)}, 'drop': {'n': 135, 'total_impact': np.float64(-270.0), 'min_impact': np.float64(-2.0)}, 'shift': {'n': 120, 'total_impact': np.float64(-240.0), 'min_impact': np.float64(-2.0)}, 'invert': {'n': 120, 'total_impact': np.float64(-240.0), 'min_impact': np.float64(-2.0)}, 'metaboost': {'n': 120, 'total_impact': np.float64(-240.0), 'min_impact': np.float64(-2.0)}, 'uniform_crossover': {'n': 120, 'total_impact': np.float64(-240.0), 'min_impact': np.float64(-2.0)}, 'rl_mutation': {'n': 120, 'total_impact': np.float64(-240.0), 'min_impact': np.float64(-2.0)}}",1.0,0.0,1.0,0.0,-0.29289321881345254,11,1.0,1.9333333333333333
8,0.7,-4.65,20,"{'add': np.float64(0.6749917816020354), 'drop': np.float64(0.6749589080101793), 'shift': np.float64(0.6749424712142512), 'invert': np.float64(0.6749095976223948), 'metaboost': np.float64(0.6748931608264668), 'crossover': 0.9, 'uniform_crossover': np.float64(0.6749589080101793), 'rl_mutation': np.float64(0.674926034418323)}","[('trade_size', np.float64(1.0)), ('stop_loss', np.float64(0.6107986281632878)), ('take_profit', np.float64(0.3792150367978713)), ('rsi_period', np.float64(0.3792150367978713)), ('rl_agent', np.float64(0.37688543375512445))]","{'add': {'n': 165, 'total_impact': np.float64(-330.0), 'min_impact': np.float64(-2.0)}, 'drop': {'n': 165, 'total_impact': np.float64(-330.0), 'min_impact': np.float64(-2.0)}, 'shift': {'n': 165, 'total_impact': np.float64(-330.0), 'min_impact': np.float64(-2.0)}, 'invert': {'n': 150, 'total_impact': np.float64(-300.0), 'min_impact': np.float64(-2.0)}, 'metaboost': {'n': 150, 'total_impact': np.float64(-300.0), 'min_impact': np.float64(-2.0)}, 'uniform_crossover': {'n': 150, 'total_impact': np.float64(-300.0), 'min_impact': np.float64(-2.0)}, 'rl_mutation': {'n': 150, 'total_impact': np.float64(-300.0), 'min_impact': np.float64(-2.0)}}",1.0,0.0,1.0,0.0,-0.29289321881345254,11,1.0,1.9
9,0.7,-4.65,20,"{'add': np.float64(0.6749993988588489), 'drop': np.float64(0.6749969942942452), 'shift': np.float64(0.6749957920119435), 'invert': np.float64(0.6749933874473398), 'metaboost': np.float64(0.6749921851650381), 'crossover': 0.9, 'uniform_crossover': np.float64(0.6749969942942452), 'rl_mutation': np.float64(0.6749945897296414)}","[('trade_size', np.float64(1.0)), ('rl_agent', np.float64(0.937928828933597)), ('stop_loss', np.float64(0.5816240260495408)), ('rsi_period', np.float64(0.37737527619490646)), ('take_profit', np.float64(0.37556808931271085))]","{'add': {'n': 195, 'total_impact': np.float64(-390.0), 'min_impact': np.float64(-2.0)}, 'drop': {'n': 195, 'total_impact': np.float64(-390.0), 'min_impact': np.float64(-2.0)}, 'shift': {'n': 195, 'total_impact': np.float64(-390.0), 'min_impact': np.float64(-2.0)}, 'invert': {'n': 195, 'total_impact': np.float64(-390.0), 'min_impact': np.float64(-2.0)}, 'metaboost': {'n': 180, 'total_impact': np.float64(-360.0), 'min_impact': np.float64(-2.0)}, 'uniform_crossover': {'n': 180, 'total_impact': np.float64(-360.0), 'min_impact': np.float64(-2.0)}, 'rl_mutation': {'n': 180, 'total_impact': np.float64(-360.0), 'min_impact': np.float64(-2.0)}}",1.0,0.0,1.0,0.0,-0.29289321881345254,11,1.0,1.9
